matching_idx,policy_area,subtopic_1,subtopic_2
9148,International Affairs,Increasing Economic Sanctions,Crypto Currency Security
9149,International Affairs,Increasing Economic Sanctions,Crypto Sanctions
9150,International Affairs,Increasing Economic Sanctions,Crypto Sanctions Enforcement
9151,International Affairs,Misc.,Misc.
9152,International Affairs,Misc.,Misc.
9153,International Affairs,Increasing Economic Sanctions,Economic Sanctions
9154,International Affairs,Misc.,Misc.
9155,International Affairs,Misc.,Misc.
9156,International Affairs,Misc.,Misc.
9157,International Affairs,Increasing Foreign Aid Accountability,Foreign Aid Accountability
9158,Labor and Employment,Expanding Workforce Development Initiatives,Helen Keller National Center Reauthorization
9159,Labor and Employment,Expanding Workforce Development Initiatives,Helen Keller National Center Support
9160,Labor and Employment,Expanding Workforce Development Initiatives,Helen Keller National Center Funding
9161,Labor and Employment,Expanding Workforce Development Initiatives,Disability Education Funding
9162,Labor and Employment,Strengthening Worker Rights,Deaf-Blind Rights
9163,Immigration,Expanding Immigration Protections,Immigration Reform
9164,Immigration,Expanding Immigration Amnesty,Immigration Reform
9165,Immigration,Expanding Immigration Amnesty,Immigration Reform
9166,Immigration,Expanding Immigration Protections,Immigration Employment Equity
9167,Immigration,Expanding Immigration Amnesty,Immigration Reform
9168,Immigration,Expanding Immigration Amnesty,Immigration Reform
9169,Immigration,Expanding Immigration Amnesty,Immigration Amnesty
9170,Crime and Law Enforcement,Expanding Human Trafficking Protections,Human Trafficking Prevention
9171,Crime and Law Enforcement,Expanding Human Trafficking Protections,Human Trafficking Prevention
9172,Crime and Law Enforcement,Expanding Human Trafficking Protections,Child Sex Trafficking Prevention
9173,Crime and Law Enforcement,Expanding Human Trafficking Protections,Human Trafficking Prevention
9174,Crime and Law Enforcement,Expanding Human Trafficking Protections,Sex Trafficking Victims
9175,Crime and Law Enforcement,Expanding Human Trafficking Protections,Human Trafficking Prevention
9176,Crime and Law Enforcement,Expanding Human Trafficking Protections,Sex Trafficking Prevention
9177,Crime and Law Enforcement,Expanding Human Trafficking Protections,Human Trafficking Prevention
9178,Crime and Law Enforcement,Expanding Human Trafficking Protections,Human Trafficking Prevention
9179,Crime and Law Enforcement,Expanding Human Trafficking Protections,Human Trafficking Prevention
9180,Transportation and Public Works,Aviation Safety Oversight Expansions,Human Trafficking Prevention
9181,Transportation and Public Works,Aviation Safety Oversight Expansions,Human Trafficking Prevention
9182,Transportation and Public Works,Aviation Safety Oversight Expansions,Human Trafficking Prevention
9183,Transportation and Public Works,Aviation Safety Oversight Expansions,Human Trafficking Prevention
9184,Transportation and Public Works,Aviation Safety Oversight Expansions,Human Trafficking Awareness
9185,Transportation and Public Works,Aviation Safety Oversight Expansions,Human Trafficking Prevention
9186,Commerce,Expanding Small Business Funding,Copyright Waivers
9187,Commerce,Expanding Small Business Funding,Intellectual Property Rights
9188,Commerce,Expanding Small Business Funding,Creative Entrepreneur Protection
9189,Commerce,Expanding Small Business Funding,Intellectual Property Rights
9190,"Science, Technology, Communications",Expanding Communication Security Standards,Free Flow of Information
9191,"Science, Technology, Communications",Expanding Communication Security Standards,Reporter Protection
9192,"Science, Technology, Communications",Expanding Communication Security Standards,Journalism Freedom
9193,"Science, Technology, Communications",Expanding Communication Security Standards,Reporter Protections
9194,"Science, Technology, Communications",Misc.,Misc.
9195,"Science, Technology, Communications",Expanding Communication Security Standards,Journalist Rights Protection
9196,"Science, Technology, Communications",Expanding Communication Security Standards,Reporter Protections
9197,Public Lands and Natural Resources,Expanding National Heritage Protections,Historic Preservation Funding
9198,Public Lands and Natural Resources,Expanding Commemorative Recognition,Slavery Memorial
9199,Public Lands and Natural Resources,Expanding Commemorative Recognition,Slavery Memorial Recognition
9200,Public Lands and Natural Resources,Expanding Commemorative Recognition,Slavery Memorial
9201,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Protection
9202,Public Lands and Natural Resources,Expanding Commemorative Recognition,Service Animals Memorial
9203,Public Lands and Natural Resources,Expanding Commemorative Recognition,Service Animal Recognition
9204,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Refuge Reform
9205,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Refuge Funding
9206,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Refuge Funding
9207,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Refuge Support
9208,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Protections
9209,Public Lands and Natural Resources,Expanding Commemorative Recognition,Black Blackwell School Preservation
9210,Public Lands and Natural Resources,Expanding Commemorative Recognition,Segregation Education Reform
9211,Public Lands and Natural Resources,Expanding National Heritage Protections,Hispanic Heritage Recognition
9212,Public Lands and Natural Resources,Expanding National Heritage Protections,National Heritage Preservation
9213,Public Lands and Natural Resources,Expanding National Heritage Protections,National Historic Sites
9214,Public Lands and Natural Resources,Expanding National Heritage Protections,National Heritage Preservation
9215,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Protection
9216,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Protection
9217,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Protection
9218,Public Lands and Natural Resources,Expanding Wilderness Protections,Wildlife Protection
9219,International Affairs,Misc.,Misc.
9220,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Law Enforcement Accountability
9221,International Affairs,Increasing Economic Sanctions,Bosnia and Herzegovina Support
9222,Education,Increasing Education Funding,Education Funding Funding
9223,Education,Misc.,Misc.
9224,Education,Expanding Mental Health Services,Student Loan Separation
9225,Education,Increasing Education Funding,Education Funding Funding
9226,Education,Expanding Mental Health Services,Abusive Relationship Reform
9227,Education,Expanding Mental Health Services,Student Loan Forgiveness
9228,Education,Increasing Education Funding,Education Funding
9229,Education,Expanding Mental Health Services,Debt Separation Policy
9230,Education,Expanding Mental Health Services,Methane Emissions Regulations
9231,Education,Misc.,Misc.
9232,Education,Misc.,Misc.
9233,Education,Expanding Mental Health Services,Energy Security
9234,Education,Expanding Mental Health Services,Gas Price Relief
9235,Education,Expanding Mental Health Services,Inflation Reduction
9236,Education,Misc.,Misc.
9237,Education,Misc.,Misc.
9238,Education,Expanding Mental Health Services,Debt Ceiling Reduction
9239,Education,Increasing Education Funding,Victim Assistance Funding
9240,Education,Misc.,Misc.
9241,International Affairs,Misc.,Misc.
9242,Education,Misc.,Misc.
9243,Education,Misc.,Misc.
9244,Education,Expanding Mental Health Services,Student Loan Relief
9245,Education,Misc.,Misc.
9246,Education,Expanding Mental Health Services,Fiscal Responsibility
9247,Education,Expanding Mental Health Services,Student Loan Consolidation
9248,Education,Expanding Mental Health Services,Student Loan Reform
9249,Education,Misc.,Misc.
9250,Education,Misc.,Misc.
9251,Education,Expanding Mental Health Services,Joint Consolidation Loans
9252,Education,Misc.,Misc.
9253,Education,Expanding Mental Health Services,Student Loan Relief
9254,International Affairs,Expanding Human Rights Protections,Religious Freedom Protection
9255,Transportation and Public Works,Increasing Transportation Funding,Ferry Service Funding
9256,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
9257,Government Operations and Politics,Strengthening Government Accountability,Electoral College Reform
9258,Government Operations and Politics,Strengthening Government Accountability,Electoral Voting Reform
9259,Government Operations and Politics,Strengthening Government Accountability,Electoral College Reform
9260,Government Operations and Politics,Strengthening Government Accountability,Democracy Under Attack
9261,Government Operations and Politics,Strengthening Government Accountability,Electoral Reform
9262,Government Operations and Politics,Strengthening Government Accountability,Electoral Reform
9263,Government Operations and Politics,Strengthening Government Accountability,Border Security
9264,Government Operations and Politics,Strengthening Government Accountability,Border Security
9265,Government Operations and Politics,Increasing Election Security Measures,Election Integrity
9266,Government Operations and Politics,Strengthening Government Accountability,Electoral Security
9267,Government Operations and Politics,Strengthening Government Accountability,Democracy Integrity
9268,Government Operations and Politics,Strengthening Government Accountability,Immigration Transparency
9269,Government Operations and Politics,Strengthening Government Accountability,Cyber Security
9270,Government Operations and Politics,Strengthening Government Accountability,Electoral Reform
9271,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
9272,Government Operations and Politics,Strengthening Government Accountability,Election Reform
9273,Government Operations and Politics,Strengthening Government Accountability,Government Accountability Reform
9274,Government Operations and Politics,Strengthening Government Accountability,Inflation Control
9275,Government Operations and Politics,Strengthening Government Accountability,Electoral College Reform
9276,Education,Increasing Education Funding,Education Funding
9277,Government Operations and Politics,Strengthening Government Accountability,Electoral Voting Reform
9278,Government Operations and Politics,Strengthening Government Accountability,Electoral Reform
9279,Government Operations and Politics,Increasing Election Security Measures,Electoral Process Integrity
9280,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
9281,Government Operations and Politics,Strengthening Government Accountability,Electoral College Referendum
9282,Government Operations and Politics,Strengthening Government Accountability,Electoral Count Reform
9283,Government Operations and Politics,Strengthening Government Accountability,Rule of Law Enforcement
9284,Government Operations and Politics,Strengthening Government Accountability,Electoral College Reform
9285,Government Operations and Politics,Strengthening Government Accountability,Election Reform
9286,Government Operations and Politics,Strengthening Government Accountability,Legislative Accountability
9287,Government Operations and Politics,Expanding Electoral Voting Rights,Electoral Voting Rights
9288,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
9289,Government Operations and Politics,Strengthening Government Accountability,Election Reform
9290,Government Operations and Politics,Strengthening Election Integrity,Election Integrity
9291,Government Operations and Politics,Increasing Election Security Measures,Election Security
9292,Government Operations and Politics,Strengthening Government Accountability,Election Reform
9293,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
9294,Government Operations and Politics,Increasing Election Security Measures,Electoral Vote Integrity
9295,Government Operations and Politics,Strengthening Government Accountability,Electoral Democracy Rights
9296,Government Operations and Politics,Increasing Election Security Measures,Electoral Security
9297,Government Operations and Politics,Strengthening Government Accountability,Bipartisan Government Accountability
9298,Government Operations and Politics,Strengthening Government Accountability,Government Accountability
9299,Government Operations and Politics,Strengthening Government Accountability,Election Reform
9300,Government Operations and Politics,Strengthening Government Accountability,Presidential Election Reform
9301,Government Operations and Politics,Strengthening Government Accountability,Election Reform
9302,Government Operations and Politics,Misc.,Misc.
9303,Government Operations and Politics,Strengthening Government Accountability,Electoral Reform
9304,Government Operations and Politics,Strengthening Government Accountability,Electoral Count Reform
9305,Government Operations and Politics,Strengthening Government Accountability,Electoral College Reform
9306,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Industry Growth
9307,Government Operations and Politics,Strengthening Government Accountability,Dark Money Transparency
9308,Government Operations and Politics,Strengthening Government Accountability,Campaign Transparency
9309,Government Operations and Politics,Strengthening Government Accountability,Dark Money Accountability
9310,Government Operations and Politics,Strengthening Government Accountability,Government Accountability Reform
9311,Government Operations and Politics,Strengthening Government Accountability,Dark Money Disclosure
9312,Government Operations and Politics,Strengthening Government Accountability,Secret Money Transparency
9313,Government Operations and Politics,Strengthening Government Accountability,Campaign Finance Transparency
9314,Health,Expanding Health Equity Initiatives,Mental Health Response Funding
9315,Health,Expanding Health Equity Initiatives,Mental Health Support
9316,Health,Expanding Health Equity Initiatives,Mental Health Response Policies
9317,Health,Expanding Health Equity Initiatives,Mental Health Access
9318,Health,Expanding Health Equity Initiatives,Violent Crime Prevention
9319,Health,Expanding Health Equity Initiatives,Mental Health Response Units
9320,Health,Expanding Health Equity Initiatives,Police Funding Cuts
9321,Health,Expanding Health Equity Initiatives,Health Equity Initiatives
9322,Health,Expanding Health Equity Initiatives,Criminal Justice Reform
9323,Health,Expanding Health Equity Initiatives,Behavioral Health Funding
9324,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Law Enforcement Funding
9325,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Law Enforcement Funding
9326,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Funding for Law Enforcement
9327,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Investing in Law Enforcement
9328,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Law Enforcement Funding
9329,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Small Law Enforcement Assistance
9330,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Funding for Police Funding
9331,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Law Enforcement Support
9332,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Taxpayer Funding for Community Organizers
9333,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Law Enforcement Funding
9334,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Police Funding Support
9335,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Law Enforcement Accountability
9336,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Bail Reform
9337,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Police Funding
9338,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Police Funding Cuts
9339,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Support for Police Funding
9340,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Funding for Law Enforcement
9341,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Law Enforcement Funding
9342,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Violence Prevention Funding
9343,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Violent Incident Clearance Funding
9344,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Law Enforcement Funding
9345,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Violent Crime Response Funding
9346,Crime and Law Enforcement,Increasing Gun Violence Prevention,Gun Violence Prevention
9347,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Law Enforcement Funding
9348,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Victim Justice Funding
9349,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Violent Crime Funding
9350,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Border Security
9351,Crime and Law Enforcement,Increasing Gun Violence Prevention,Gun Violence Prevention
9352,Government Operations and Politics,Strengthening Government Accountability,Secret Money Disclosure
9353,Crime and Law Enforcement,Law Enforcement Accountability Expansion,Law Enforcement Accountability
9354,Commerce,Expanding Small Business Funding,Small Business Funding Support
9355,Commerce,Expanding Small Business Funding,Small Business Innovation Programs
9356,Commerce,Expanding Small Business Funding,Small Business Innovation Funding
9357,Commerce,Expanding Small Business Funding,Small Business Funding Reform
9358,Commerce,Expanding Small Business Funding,Small Business Funding Extension
9359,Commerce,Expanding Small Business Funding,Small Business Funding
9360,Commerce,Expanding Small Business Funding,Small Business Innovation Programs
9361,Commerce,Increasing Small Business Support,Small Business Support
9362,Commerce,Expanding Small Business Funding,Small Business Funding Reform
9363,Commerce,Expanding Small Business Funding,Research Security
9364,Commerce,Expanding Small Business Funding,Small Business Funding
9365,Armed Forces and National Security,Military Accountability Measures,Cloud Security
9366,Armed Forces and National Security,Military Accountability Measures,Cloud Computing Security
9367,Armed Forces and National Security,Enhancing Veterans' Accountability,Cybersecurity Reform
9368,Armed Forces and National Security,Military Accountability Measures,Cybersecurity Improvements
9369,Government Operations and Politics,Strengthening Government Accountability,Public Health Emergency Safety
9370,Government Operations and Politics,Strengthening Government Accountability,Public Health Emergency Preparedness
9371,Government Operations and Politics,Strengthening Government Accountability,Federal Worker Safety Legislation
9372,Government Operations and Politics,Strengthening Government Accountability,Healthy Workforce Protection
9373,Government Operations and Politics,Strengthening Government Accountability,Public Health Preparedness
9374,Government Operations and Politics,Strengthening Government Accountability,Human Trafficking Prevention
9375,Government Operations and Politics,Strengthening Government Accountability,Human Trafficking Prevention
9376,Government Operations and Politics,Strengthening Government Accountability,Human Trafficking Prevention
9377,Government Operations and Politics,Strengthening Government Accountability,Sex Trafficking Prevention
9378,Government Operations and Politics,Strengthening Government Accountability,Artificial Intelligence Training Programs
9379,Government Operations and Politics,Strengthening Government Accountability,Artificial Intelligence Training
9380,Government Operations and Politics,Strengthening Government Accountability,Artificial Intelligence Training
9381,Government Operations and Politics,Strengthening Government Accountability,Artificial Intelligence Technology
9382,Government Operations and Politics,Strengthening Government Accountability,Skills-based Hiring Reform
9383,Government Operations and Politics,Strengthening Government Accountability,Government Hiring Reform
9384,Government Operations and Politics,Strengthening Government Accountability,Hiring Process Reform
9385,Government Operations and Politics,Strengthening Government Accountability,Hiring Accountability
9386,Government Operations and Politics,Strengthening Government Accountability,Federal Hiring Reform
9387,Health,Expanding Health Equity Initiatives,Trauma Care Access
9388,Health,Expanding Health Equity Initiatives,Trauma Care Access
9389,Health,Expanding Health Equity Initiatives,Mobile Health Access
9390,Health,Expanding Health Equity Initiatives,Healthcare Access Access
9391,Health,Expanding Health Equity Initiatives,Mobile Health Access
9392,Health,Expanding Health Equity Initiatives,Healthcare Access
9393,Commerce,Expanding Small Business Funding,Consumer Privacy Protection
9394,Commerce,Expanding Small Business Funding,Consumer Privacy Protection
9395,Commerce,Expanding Small Business Funding,Consumer Privacy Protection
9396,Commerce,Expanding Small Business Funding,Small Business Funding
9397,Economics and Public Finance,Increasing Government Spending Accountability,Travel Industry Recovery
9398,Economics and Public Finance,Increasing Government Spending Accountability,Tourism Recovery
9399,Economics and Public Finance,Increasing Government Spending Accountability,Travel and Tourism Support
9400,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
9401,Finance and Financial Sector,Financial Accountability Expansion,Federal Credit Union Oversight
9402,Finance and Financial Sector,Financial Accountability Expansion,Credit Union Modernization
9403,Finance and Financial Sector,Financial Accountability Expansion,Credit Union Accountability
9404,Finance and Financial Sector,Financial Accountability Expansion,Financial Accountability
9405,Finance and Financial Sector,Financial Accountability Expansion,Sanctions Oversight
9406,Finance and Financial Sector,Financial Accountability Expansion,Sanctions Oversight
9407,Finance and Financial Sector,Financial Accountability Expansion,Banking Transparency
9408,Public Lands and Natural Resources,Expanding Wilderness Protections,Gilt Edge Mine Conveyance
9409,Public Lands and Natural Resources,Expanding Wilderness Protections,Environmental Cleanup Efforts
9410,Public Lands and Natural Resources,Expanding Wilderness Protections,Environmental Rights
9411,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Oversight
9412,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Oversight
9413,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Oversight
9414,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Oversight
9415,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Oversight
9416,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Industry Collaboration
9417,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Workforce Shortage
9418,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Workforce Development
9419,Emergency Management,Increasing Homeland Security Accountability,Disaster Relief Assistance
9420,Emergency Management,Expanding Disaster Recovery Assistance,Disaster Recovery Assistance
9421,Emergency Management,Increasing Homeland Security Accountability,Disaster Recovery Reform
9422,Emergency Management,Increasing Homeland Security Accountability,Disaster Recovery Assistance
9423,Emergency Management,Increasing Homeland Security Accountability,Homeland Security Accountability
9424,Transportation and Public Works,Aviation Safety Oversight Expansions,PFAS Control
9425,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Regulations
9426,Transportation and Public Works,Aviation Safety Oversight Expansions,Aviation Safety Legislation
9427,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veterans Healthcare Access
9428,Armed Forces and National Security,Expanding Veteran Healthcare Access,Veteran Mobility Access
9429,Armed Forces and National Security,Expanding Veteran Benefits Access,Veterans' Vehicle Assistance
9430,Armed Forces and National Security,Misc.,Misc.
9431,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Hunger Prevention
9432,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Food Security
9433,Armed Forces and National Security,Misc.,Misc.
9434,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Food Security Assistance
9435,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
9436,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Expansion
9437,Armed Forces and National Security,Expanding Veterans' Mental Health Services,Veteran Mental Health Services
9438,Armed Forces and National Security,Expanding Veterans' Mental Health Services,Veteran Mental Health Access
9439,Armed Forces and National Security,Expanding Veterans' Mental Health Services,Veteran Mental Health Services
9440,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veterans Healthcare Access
9441,Armed Forces and National Security,Misc.,Misc.
9442,Armed Forces and National Security,Expanding Veteran Healthcare Access,Veteran Healthcare Access
9443,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
9444,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veterans' Healthcare Access
9445,Armed Forces and National Security,Misc.,Misc.
9446,Armed Forces and National Security,Misc.,Misc.
9447,Armed Forces and National Security,Military Accountability Measures,Military Rule Enforcement
9448,Armed Forces and National Security,Misc.,Misc.
9449,Armed Forces and National Security,Misc.,Misc.
9450,Armed Forces and National Security,Misc.,Misc.
9451,Armed Forces and National Security,Misc.,Misc.
9452,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
9453,Armed Forces and National Security,Enhancing Veterans' Accountability,Veterans Accountability Reform
9454,Armed Forces and National Security,Misc.,Misc.
9455,Armed Forces and National Security,Misc.,Misc.
9456,Armed Forces and National Security,Misc.,Misc.
9457,Armed Forces and National Security,Misc.,Misc.
9458,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Benefits Access
9459,Armed Forces and National Security,Expanding Veteran Benefits Access,Veteran Life Insurance Coverage Expansion
9460,Armed Forces and National Security,Misc.,Misc.
9461,Armed Forces and National Security,Misc.,Misc.
9462,Armed Forces and National Security,Increasing Military Funding,Military Funding
9463,International Affairs,Increasing Foreign Aid Accountability,Civil Rights Funding
9464,International Affairs,Increasing Foreign Aid Accountability,Nonviolent Civil Rights Education
9465,International Affairs,Expanding Human Rights Protections,Civil Rights Support
9466,International Affairs,Expanding Human Rights Protections,Civil Rights Research Opportunities
9467,International Affairs,Increasing Foreign Aid Accountability,Fulbright Program Funding
9468,International Affairs,Expanding Human Rights Protections,Civil Rights Advocacy
9469,International Affairs,Misc.,Misc.
9470,International Affairs,Misc.,Misc.
9471,International Affairs,Misc.,Misc.
9472,International Affairs,Misc.,Misc.
9473,International Affairs,Misc.,Misc.
9474,International Affairs,Misc.,Misc.
9475,International Affairs,Increasing Foreign Aid Accountability,Foreign Aid Accountability
9476,International Affairs,Misc.,Misc.
9477,International Affairs,Increasing Foreign Aid Accountability,Foreign Aid Eligibility Reform
9478,International Affairs,Increasing Foreign Aid Accountability,Foreign Aid Accountability
9479,International Affairs,Misc.,Misc.
9480,International Affairs,Increasing Foreign Aid Accountability,Foreign Aid Accountability
9481,International Affairs,Expanding Human Rights Protections,Christian Persecution in China
9482,International Affairs,Expanding Human Rights Protections,Religious Freedom in China
9483,International Affairs,Expanding Human Rights Protections,Religious Freedom Protection
9484,International Affairs,Expanding Human Rights Protections,Religious Persecution in China
9485,International Affairs,Increasing Economic Sanctions,China Sanctions
9486,International Affairs,Expanding Human Rights Protections,Religious Minority Rights
9487,International Affairs,Expanding Human Rights Protections,Religious Freedom
9488,Economics and Public Finance,Increasing Government Spending Accountability,War Crimes Accountability
9489,Economics and Public Finance,Increasing Government Spending Accountability,Ambassador Confirmation Process
9490,Economics and Public Finance,Increasing Pandemic Relief Funding,COVID-19 Termination
9491,Economics and Public Finance,Increasing Government Spending Accountability,Healthcare Provider Shortages
9492,Economics and Public Finance,Increasing Pandemic Relief Funding,Vaccine Mandates
9493,Economics and Public Finance,Expanding Drug Price Controls,Drug Trafficking Enforcement
9494,Economics and Public Finance,Increasing Government Spending Accountability,Death Penalty Reform
9495,Economics and Public Finance,Expanding Drug Price Controls,Drug Policy Enforcement
9496,Economics and Public Finance,Increasing Government Spending Accountability,Immigration Enforcement
9497,Economics and Public Finance,Increasing Government Spending Accountability,Support for Criminal Justice
9498,Economics and Public Finance,Increasing Government Spending Accountability,Prison Reform Legislation
9499,Economics and Public Finance,Misc.,Misc.
9500,Economics and Public Finance,Expanding Drug Price Controls,Drug Pricing Reform
9501,Economics and Public Finance,Misc.,Misc.
9502,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Civil Rights Justice
9503,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Fentanyl Overdoses
9504,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Fentanyl Regulation
9505,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Fentanyl Research
9506,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Drug Research Restrictions
9507,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Fentanyl Categorization
9508,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,SOFA Extension
9509,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Fentanyl Analog Scheduling
9510,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Fentanyl Policy
9511,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Opioid Overdose Prevention
9512,"Civil Rights and Liberties, Minority Issues",Expanding Minority Civil Rights,Support for Ukraine
9513,Emergency Management,Increasing Homeland Security Accountability,Homeland Security Accountability
9514,Emergency Management,Increasing Homeland Security Accountability,Wildfire Response
9515,Emergency Management,Increasing Homeland Security Accountability,Homeland Security Accountability
9516,Commerce,Expanding Small Business Funding,Small Business Funding Funding
9517,Economics and Public Finance,Increasing Clean Energy Funding,Geothermal Energy Tax Credits
9518,Commerce,Expanding Small Business Funding,Small Business Funding
9519,Government Operations and Politics,Voting Rights Expansion,Voting Rights Expansion
9520,Government Operations and Politics,Voting Rights Expansion,Disability Voting Access
9521,Government Operations and Politics,Strengthening Government Accountability,Government Accountability Reform
9522,Government Operations and Politics,Voting Rights Expansion,Voting Rights Expansion
9523,Government Operations and Politics,Voting Rights Expansion,Voting Access Reform
9524,Government Operations and Politics,Voting Rights Expansion,Voting Access Reform
9525,Government Operations and Politics,Expanding Voting Rights Access,Voting Rights Access
9526,Government Operations and Politics,Misc.,Misc.
9527,Government Operations and Politics,Misc.,Misc.
9528,Government Operations and Politics,Strengthening Government Accountability,Antitrust Enforcement
9529,Government Operations and Politics,Voting Rights Expansion,Accessibility for Voting Rights
9530,Government Operations and Politics,Voting Rights Expansion,Voting Rights Expansion
9531,Education,Expanding Mental Health Services,Mental Health Services Access
9532,Education,Expanding Mental Health Services,Mental Health Parity Enforcement
9533,Education,Expanding Mental Health Services,Mental Health Enforcement
9534,Education,Expanding Mental Health Services,Mental Health Services Access
9535,Education,Expanding Mental Health Services,Mental Health Services Access
9536,Education,Expanding Mental Health Services,Mental Health Services Access
9537,Education,Expanding Mental Health Services,Mental Health Parity
9538,Education,Expanding Mental Health Services,Mental Health Parity
9539,Education,Expanding Mental Health Services,Mental Health Services Standards
9540,Education,Increasing Education Funding,Education Funding Reform
9541,Education,Expanding Mental Health Services,Mental Health Services Access
9542,Education,Increasing Education Funding,Parental Rights in Education
9543,Education,Expanding Mental Health Services,Support for Mental Health Services
9544,Education,Expanding Mental Health Services,Mental Health Parity Regulations
9545,Education,Expanding Mental Health Services,Mental Health Services
9546,Education,Expanding Mental Health Services,Mental Health Support
9547,Education,Expanding Mental Health Services,Mental Health Services Access
9548,Education,Expanding Mental Health Services,Mental Health Access
9549,Education,Expanding Mental Health Services,Mental Health Access
9550,Education,Expanding Mental Health Services,Mental Health Services Access
9551,Education,Expanding Mental Health Services,Mental Health Services Legislation
9552,Education,Expanding Mental Health Services,Mental Health Services
9553,Education,Increasing Education Funding,Education Funding Reform
9554,Education,Expanding Mental Health Services,Workplace Mental Health Support
9555,Education,Expanding Mental Health Services,Mental Health Benefits
9556,Education,Expanding Mental Health Services,Mental Health Services
9557,Education,Increasing Education Funding,Bipartisan Education Funding
9558,Economics and Public Finance,Increasing Government Spending Accountability,Antitrust Enforcement
