policy_area,gpt_label,document_index,new_subtopic
Economics and Public Finance,Border Security and Immigration Funding,2690,Border Security Funding
Economics and Public Finance,Border Security and Immigration Funding,2691,Government Funding and Border Security
Economics and Public Finance,Border Security and Immigration Funding,2810,Border Security and Funding
Economics and Public Finance,Border Security and Immigration Funding,2886,Sanctuary City Policies and Immigration
Economics and Public Finance,Border Security and Immigration Funding,2287,Border Security and Immigration
Economics and Public Finance,Border Security and Immigration Funding,2289,Border Security and Funding
Economics and Public Finance,Border Security and Immigration Funding,2335,Border Security Concerns
Economics and Public Finance,Border Security and Immigration Funding,2341,Border Security Funding
Economics and Public Finance,Border Security and Immigration Funding,2343,Border Security Funding
Economics and Public Finance,Border Security and Immigration Funding,2378,Border Security Issues
Economics and Public Finance,Border Security and Immigration Funding,2379,Border Security Funding
Economics and Public Finance,Border Security and Immigration Funding,2380,Border Security and Immigration
Economics and Public Finance,Border Security and Immigration Funding,2417,Border Security and Immigration Funding
Economics and Public Finance,Border Security and Immigration Funding,2905,Border Security Issues
Economics and Public Finance,Border Security and Immigration Funding,2908,Border Security Concerns
Economics and Public Finance,Border Security and Immigration Funding,3227,Border Security and Refugee Resettlement
Economics and Public Finance,Border Security and Immigration Funding,3354,Border Security and Abortion Funding
Economics and Public Finance,Impact of Government Funding Cuts,2670,Government Funding Cuts
Economics and Public Finance,Impact of Government Funding Cuts,2687,LIHEAP Program Cuts
Economics and Public Finance,Impact of Government Funding Cuts,2263,Government Funding Cuts
Economics and Public Finance,Impact of Government Funding Cuts,2789,Government Funding Cuts
Economics and Public Finance,Impact of Government Funding Cuts,2805,Election Funding Cuts
Economics and Public Finance,Impact of Government Funding Cuts,2865,Federal Office Space Funding Cuts
Economics and Public Finance,Impact of Government Funding Cuts,2866,Government Funding Cuts
Economics and Public Finance,Impact of Government Funding Cuts,3062,Drug Trafficking Funding Cuts
Economics and Public Finance,Impact of Government Funding Cuts,3124,Funding for Wage and Hour Division
Economics and Public Finance,Impact of Government Funding Cuts,3145,NIH Funding Cuts
Economics and Public Finance,Impact of Government Funding Cuts,3203,NLRB Funding Cuts
Economics and Public Finance,Impact of Government Funding Cuts,3204,NLRB Funding Cuts and Accountability
Economics and Public Finance,Impact of Government Funding Cuts,3306,WHO Funding Cuts
Economics and Public Finance,Impact of Government Funding Cuts,3371,Government Funding Cuts for Families
Economics and Public Finance,International Military and Humanitarian Support,2696,Government Funding and Support for Allies
Economics and Public Finance,International Military and Humanitarian Support,2702,Government Funding and Ukraine
Economics and Public Finance,International Military and Humanitarian Support,2700,Security Assistance Funding for Ukraine
Economics and Public Finance,International Military and Humanitarian Support,2711,Support for Ukraine's Defense
Economics and Public Finance,International Military and Humanitarian Support,1678,Support for Ukraine Assistance
Economics and Public Finance,International Military and Humanitarian Support,2200,Support for Ukraine Assistance
Economics and Public Finance,International Military and Humanitarian Support,2593,Support for Ukraine Assistance
Economics and Public Finance,International Military and Humanitarian Support,2595,Support for Ukraine Support
Economics and Public Finance,International Military and Humanitarian Support,2716,Support for Ukraine Support
Economics and Public Finance,International Military and Humanitarian Support,2720,Government Funding Agreement
Economics and Public Finance,International Military and Humanitarian Support,2748,Funding for Israel Response
Economics and Public Finance,International Military and Humanitarian Support,2502,Support for Israel
Economics and Public Finance,International Military and Humanitarian Support,2618,Support for Israel
Economics and Public Finance,International Military and Humanitarian Support,2749,Support for Israel
Economics and Public Finance,International Military and Humanitarian Support,2751,Support for Israel
Economics and Public Finance,International Military and Humanitarian Support,2756,Support for Israel
Economics and Public Finance,International Military and Humanitarian Support,2758,Support for Israel
Economics and Public Finance,International Military and Humanitarian Support,2762,Support for Israel
Economics and Public Finance,International Military and Humanitarian Support,2767,Support for Israel
Economics and Public Finance,International Military and Humanitarian Support,2768,Support for Israel
Economics and Public Finance,International Military and Humanitarian Support,2770,Support for Israel Aid
Economics and Public Finance,International Military and Humanitarian Support,2772,Support for Israel
Economics and Public Finance,International Military and Humanitarian Support,2773,Support for Israel's Military Assistance
Economics and Public Finance,International Military and Humanitarian Support,2750,Support for Israel and Ukraine
Economics and Public Finance,International Military and Humanitarian Support,2754,Support for Israel and Ukraine
Economics and Public Finance,International Military and Humanitarian Support,3166,Support for Israel and Ukraine
Economics and Public Finance,International Military and Humanitarian Support,2752,Support for Ukraine and Israel
Economics and Public Finance,International Military and Humanitarian Support,2761,Support for Ukraine and Israel
Economics and Public Finance,International Military and Humanitarian Support,2753,Support for Israel's Military
Economics and Public Finance,International Military and Humanitarian Support,2771,Support for Israel's Defense
Economics and Public Finance,International Military and Humanitarian Support,2755,Support for Ukraine and Gaza
Economics and Public Finance,International Military and Humanitarian Support,2757,Support for Israel
Economics and Public Finance,International Military and Humanitarian Support,2777,Support for Israel Aid
Economics and Public Finance,International Military and Humanitarian Support,2759,Support for Israel's Security Assistance
Economics and Public Finance,International Military and Humanitarian Support,2760,Military Assistance to Israel
Economics and Public Finance,International Military and Humanitarian Support,2763,Support for Israel Funding
Economics and Public Finance,International Military and Humanitarian Support,2764,Funding for Israel and Defense
Economics and Public Finance,International Military and Humanitarian Support,2769,Humanitarian Assistance Support
Economics and Public Finance,International Military and Humanitarian Support,2775,IRS Auditing and Israel Aid
Economics and Public Finance,International Military and Humanitarian Support,2776,Support for Israel Support
Economics and Public Finance,International Military and Humanitarian Support,2872,Sanctions on Russia
Economics and Public Finance,International Military and Humanitarian Support,2965,Rogue Regime Funding
Economics and Public Finance,International Military and Humanitarian Support,2523,Funding for International Aid
Economics and Public Finance,International Military and Humanitarian Support,3134,Border Security and Humanitarian Support
Economics and Public Finance,International Military and Humanitarian Support,3136,Funding for International Aid
Economics and Public Finance,International Military and Humanitarian Support,3201,Funding for Defense and Humanitarian Aid
Economics and Public Finance,International Military and Humanitarian Support,3226,North Korean Influence in WHO
Economics and Public Finance,International Military and Humanitarian Support,3292,Anti-Semitism on Campus Funding
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",2766,IRS Funding and Taxation
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",2812,IRS Funding Cuts
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",2831,IRS Funding and Accountability
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",2832,IRS Funding and Accountability
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",2840,IRS Funding and Accountability Issues
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",2834,IRS Funding and Oversight
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",12,IRS Funding and Accountability
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",30,IRS Funding and Accountability
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",39,IRS Funding and Accountability
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",2835,IRS Funding and Accountability
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",2836,IRS Firearms and Ammunition Cap
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",2869,IRS Funding and Enforcement Issues
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",2870,IRS Funding and Accountability Issues
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",2892,IRS Funding and Accountability
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",2894,IRS Funding and Accountability
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",3076,IRS Funding and Oversight Issues
Economics and Public Finance,"IRS Funding, Oversight, and Accountability Issues",3373,IRS Revenue Issues
Economics and Public Finance,Government Accountability and Oversight,2774,War Crimes Accountability
Economics and Public Finance,Government Accountability and Oversight,2811,Government Accountability Reform
Economics and Public Finance,Government Accountability and Oversight,1541,Government Accountability Debate
Economics and Public Finance,Government Accountability and Oversight,2333,Accountability in Government
Economics and Public Finance,Government Accountability and Oversight,2939,Government Accountability Issues
Economics and Public Finance,Government Accountability and Oversight,3290,Accountability in Government
Economics and Public Finance,Government Accountability and Oversight,3072,SBA Accountability Issues
Economics and Public Finance,Government Accountability and Oversight,3074,SBA Funding and Oversight
Economics and Public Finance,Government Accountability and Oversight,3137,COVID-19 Accountability Reform
Economics and Public Finance,Government Accountability and Oversight,3212,Government Accountability in Education
Economics and Public Finance,Government Accountability and Oversight,3288,Accountability in Government
Economics and Public Finance,Government Accountability and Oversight,3327,Government Guidance and Speech Rights
Economics and Public Finance,Government Accountability and Oversight,3349,Accountability in Research
Economics and Public Finance,Government Accountability and Oversight,3360,Government Accountability Issues
Economics and Public Finance,Public Safety and Health Policy,2813,Public Safety and Drug Policy
Economics and Public Finance,Public Safety and Health Policy,3011,Civil Service Protections
Economics and Public Finance,Public Safety and Health Policy,3012,Civil Service Protections
Economics and Public Finance,Public Safety and Health Policy,3013,Civil Service Protections
Economics and Public Finance,Public Safety and Health Policy,3032,Gun Control Policy
Economics and Public Finance,Public Safety and Health Policy,3033,Gun Violence Prevention
Economics and Public Finance,Public Safety and Health Policy,3034,Gun Violence Prevention
Economics and Public Finance,Public Safety and Health Policy,3035,Gun Violence Prevention
Economics and Public Finance,Public Safety and Health Policy,518,Public Safety and Crime Policy
Economics and Public Finance,Public Safety and Health Policy,546,Crime and Public Safety
Economics and Public Finance,Public Safety and Health Policy,547,Public Safety Concerns
Economics and Public Finance,Public Safety and Health Policy,550,Crime and Public Safety
Economics and Public Finance,Public Safety and Health Policy,554,Crime and Public Safety Policy
Economics and Public Finance,Public Safety and Health Policy,557,Child Safety and Crime Prevention
Economics and Public Finance,Public Safety and Health Policy,3036,Crime and Public Safety
Economics and Public Finance,Public Safety and Health Policy,3037,Community Violence Intervention
Economics and Public Finance,Public Safety and Health Policy,3038,Surveillance and Public Safety
Economics and Public Finance,Public Safety and Health Policy,3075,Postal Employee Safety
Economics and Public Finance,Public Safety and Health Policy,3100,Occupational Safety and Health Policy
Economics and Public Finance,Public Safety and Health Policy,3103,Worker Safety and Public Service
Economics and Public Finance,Public Safety and Health Policy,3104,Health and Safety in Mining
Economics and Public Finance,Public Safety and Health Policy,3210,Public Health and Safety Policy
Economics and Public Finance,Public Safety and Health Policy,3304,Occupational Safety and Health Policy
Economics and Public Finance,Public Safety and Health Policy,3314,Firearm Injury Research Funding
Economics and Public Finance,Public Safety and Health Policy,3316,Firearm Injury Prevention
Economics and Public Finance,Public Safety and Health Policy,3350,Opposition to Amendment
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2815,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2844,Regulatory Oversight and Research
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2882,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2885,Oversight of Regulatory Oversight
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2895,Regulatory Oversight Criticism
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2898,Rulemaking Speed Concerns
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2900,Regulatory Overreach and Oversight
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2901,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2902,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2903,Executive Branch Oversight
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2904,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2913,Regulatory Abuse in Digital Assets
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2914,Regulatory Oversight of Cryptocurrency
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2915,Digital Asset Regulation
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2923,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2933,Regulatory Oversight Concerns
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2935,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2953,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2954,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2955,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2956,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2979,SEC Rule Impact on Small Businesses
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2980,SEC's Private Fund Adviser Rule
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2981,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2983,Regulatory Oversight of Technology
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2984,SEC Rule on Investor Protections
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2985,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2986,Regulatory Oversight and Innovation
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2991,Shareholder Proposal Process Reform
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2992,Shareholder Engagement Regulation
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2993,SEC Authority and Shareholder Proposals
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2994,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2995,ESG Disclosure Rule Opposition
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2997,Cybersecurity Regulation Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2998,Cybersecurity Disclosure Transparency
Economics and Public Finance,Regulatory Oversight and Accountability Issues,2999,Cybersecurity and Regulatory Oversight
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3001,Accountability Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3010,Executive Branch Staffing Oversight
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3041,D.C. Criminal Code Oversight
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3047,SEC Legal Loophole for Activist Proposals
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3048,SEC Guidance on Non-GAAP Disclosures
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3049,ESG-related shareholder proposals
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3050, proxy adviser regulation
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3051,proxy adviser rule
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3055,Digital Discrimination in Broadband Regulation
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3068,Financial Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3069,Regulatory Oversight of Nonbank Financial Companies
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3070,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3102,Regulatory Accountability Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3143,Conspiracy Theory and Science
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3220,Junk Fees and Retirement Savings
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3221,Regulatory Impact on Investment
Economics and Public Finance,Regulatory Oversight and Accountability Issues,1520,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3236,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3238,Regulatory Accountability Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3254,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3330,Mine Safety and Health Regulations
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3332,Mining Industry Regulation
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3333,Mining Regulation Issues
Economics and Public Finance,Regulatory Oversight and Accountability Issues,3334,Regulatory Oversight of Mining
Economics and Public Finance,Regulatory Oversight and Accountability,2848,CFPB Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability,2849,CFPB Oversight and Accountability
Economics and Public Finance,Regulatory Oversight and Accountability,2851,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability,2852,CFPB Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability,2910,IMF and RMB Policy
Economics and Public Finance,Regulatory Oversight and Accountability,2924,FTC Authority and Regulation
Economics and Public Finance,Regulatory Oversight and Accountability,2927,FTC Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability,2928,FTC Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability,2929,FTC Authority and Regulation
Economics and Public Finance,Regulatory Oversight and Accountability,2930,FTC Authority and Regulation
Economics and Public Finance,Regulatory Oversight and Accountability,2931,FTC Merger Termination Process
Economics and Public Finance,Regulatory Oversight and Accountability,3009,CFPB Oversight and Regulation
Economics and Public Finance,Regulatory Oversight and Accountability,3015,Regulatory Oversight Issues
Economics and Public Finance,Regulatory Oversight and Accountability,3017,Regulatory Oversight Concerns
Economics and Public Finance,Vaccination and Mandate Controversies,2948,Vaccine Mandates and Liberties
Economics and Public Finance,Vaccination and Mandate Controversies,2950,Vaccine Mandates and Freedom
Economics and Public Finance,Vaccination and Mandate Controversies,3247,Vaccine Mandates and Freedom
Economics and Public Finance,Vaccination and Mandate Controversies,3003,COVID-19 Mask Mandates
Economics and Public Finance,Vaccination and Mandate Controversies,3322,COVID-19 Mask Mandates
Economics and Public Finance,Vaccination and Mandate Controversies,3323,COVID-19 Mask Mandates
Economics and Public Finance,Vaccination and Mandate Controversies,3004,Mask Mandates Opposition
Economics and Public Finance,Vaccination and Mandate Controversies,3006,Mask Mandate Debate
Economics and Public Finance,Vaccination and Mandate Controversies,3208,Mask Mandates in Head Start Programs
Economics and Public Finance,Vaccination and Mandate Controversies,3039,Vaccine Mandates in D.C.
Economics and Public Finance,Vaccination and Mandate Controversies,3099,Vaccine Mandate Controversy
Economics and Public Finance,Vaccination and Mandate Controversies,3101,Vaccine Mandates and OSHA
Economics and Public Finance,Vaccination and Mandate Controversies,3121,Vitamin D and COVID-19
Economics and Public Finance,Vaccination and Mandate Controversies,3122,Vitamin D and COVID-19
Economics and Public Finance,Vaccination and Mandate Controversies,3123,Vitamin D and Vaccination
Economics and Public Finance,Vaccination and Mandate Controversies,3207,Mask Mandates for Children
Economics and Public Finance,Vaccination and Mandate Controversies,445,Vaccine Mandate Controversy
Economics and Public Finance,Vaccination and Mandate Controversies,2559,COVID-19 Vaccine Mandates
Economics and Public Finance,Vaccination and Mandate Controversies,2560,COVID-19 Vaccine Mandates
Economics and Public Finance,Vaccination and Mandate Controversies,3245,COVID-19 Vaccine Mandates
Economics and Public Finance,Vaccination and Mandate Controversies,3246,COVID-19 Vaccine Mandates in Education
Economics and Public Finance,Vaccination and Mandate Controversies,431,Vaccine Mandate Opposition
Economics and Public Finance,Vaccination and Mandate Controversies,3248,Vaccine Mandate Debate
Economics and Public Finance,Vaccination and Mandate Controversies,3249,Vaccine Mandate Debate
Economics and Public Finance,Vaccination and Mandate Controversies,3362,Vaccination Mandate Opposition
Economics and Public Finance,Vaccination and Mandate Controversies,3258,COVID Vaccine Mandates
Economics and Public Finance,Vaccination and Mandate Controversies,3260,COVID Vaccine Mandates
Economics and Public Finance,Vaccination and Mandate Controversies,3259,Vaccine Mandates and Scientific Process
Economics and Public Finance,Vaccination and Mandate Controversies,458,Vaccine Mandate Opposition
Economics and Public Finance,Vaccination and Mandate Controversies,465,COVID-19 Vaccine Mandate Opposition
Economics and Public Finance,Vaccination and Mandate Controversies,3261,COVID-19 Vaccine Mandate Opposition
Economics and Public Finance,Vaccination and Mandate Controversies,3293,Transgenic Edible Vaccines
Economics and Public Finance,Vaccination and Mandate Controversies,3303,Vaccine Mandate Controversy
Economics and Public Finance,Vaccination and Mandate Controversies,2252,Vaccination Mandate Debate
Economics and Public Finance,Vaccination and Mandate Controversies,3305,Vaccine Mandate Debate
Economics and Public Finance,Vaccination and Mandate Controversies,3317,COVID-19 Uninsured Program Accountability
Economics and Public Finance,Vaccination and Mandate Controversies,3351,COVID-19 Mandate Controversy
Economics and Public Finance,Vaccination and Mandate Controversies,3361,Vaccine Mandates and Rights
Economics and Public Finance,Vaccination and Mandate Controversies,3363,Vaccination Mandates Debate
Economics and Public Finance,Vaccination and Mandate Controversies,3367,Vaccine for Valley Fever
Economics and Public Finance,Vaccination and Mandate Controversies,3369,Vaccination and Morality
Economics and Public Finance,Vaccination and Mandate Controversies,3383,Vaccination Coverage in Healthcare
Economics and Public Finance,Vaccination and Mandate Controversies,3384,Vaccination and Mandates
Economics and Public Finance,Funding and Support for Health Research,3084,Healthcare Disparity in Rural Hospitals
Economics and Public Finance,Funding and Support for Health Research,3093,Support for Epilepsy research
Economics and Public Finance,Funding and Support for Health Research,3094,ALS Research Funding
Economics and Public Finance,Funding and Support for Health Research,3095,Healthcare Workforce Shortage
Economics and Public Finance,Funding and Support for Health Research,3096,Funding for Health Research
Economics and Public Finance,Funding and Support for Health Research,3129,Funding for Minority Health Research
Economics and Public Finance,Funding and Support for Health Research,2142,Funding for Breast Cancer Research
Economics and Public Finance,Funding and Support for Health Research,2428,Breast Cancer Research Funding
Economics and Public Finance,Funding and Support for Health Research,3098,Breast Cancer Research Funding
Economics and Public Finance,Funding and Support for Health Research,3106,Job Corps and Housing Development
Economics and Public Finance,Funding and Support for Health Research,3108,Nursing Workforce Funding
Economics and Public Finance,Funding and Support for Health Research,3112,Rural Hospital Funding Crisis
Economics and Public Finance,Funding and Support for Health Research,3115,Rural Healthcare Workforce Expansion
Economics and Public Finance,Funding and Support for Health Research,3125,Funding for Health Research
Economics and Public Finance,Funding and Support for Health Research,3126,Biomedical Research Funding Issues
Economics and Public Finance,Funding and Support for Health Research,3131,Biomedical Research Funding
Economics and Public Finance,Funding and Support for Health Research,3135,Funding for Health Research
Economics and Public Finance,Funding and Support for Health Research,3128,Funding for Health Research
Economics and Public Finance,Funding and Support for Health Research,3132,Funding for Health Research
Economics and Public Finance,Funding and Support for Health Research,3133,Funding for Health Research
Economics and Public Finance,Funding and Support for Health Research,3138,Funding for Health Research
Economics and Public Finance,Funding and Support for Health Research,3141,NIH funding and research funding
Economics and Public Finance,Funding and Support for Health Research,3146,Funding for Health Research
Economics and Public Finance,Funding and Support for Health Research,3147,Funding for Project BioShield
Economics and Public Finance,Funding and Support for Health Research,3155,Funding for State Health Stocks
Economics and Public Finance,Funding and Support for Health Research,3157,Funding for Health Research
Economics and Public Finance,Funding and Support for Health Research,3158,Funding for HIV/AIDS Research
Economics and Public Finance,Funding and Support for Health Research,3160,Funding for AIDS Research
Economics and Public Finance,Funding and Support for Health Research,3161,HIV Initiative Cuts
Economics and Public Finance,Funding and Support for Health Research,3250,Virology Research Funding in China
Economics and Public Finance,Funding and Support for Health Research,3251,Funding for Health Research
Economics and Public Finance,Funding and Support for Health Research,3252,Funding for Health Research
Economics and Public Finance,Funding and Support for Health Research,3280,Funding for Health Research
Economics and Public Finance,Funding and Support for Health Research,3294,Gain-of-function research
Economics and Public Finance,Funding and Support for Health Research,3295,Gain-of-function research funding
Economics and Public Finance,Funding and Support for Health Research,3296,Gain-of-function research funding
Economics and Public Finance,Funding and Support for Health Research,3313,Funding for CDC Research
Economics and Public Finance,Funding and Support for Health Research,3315,CDC Mission and Focus
Economics and Public Finance,Funding and Support for Health Research,3318,Nursing Home Staffing Mandate
Economics and Public Finance,Funding and Support for Health Research,3319,Long-term Care Staffing Standards
Economics and Public Finance,Funding and Support for Health Research,3320,Nursing Shortage Crisis
Economics and Public Finance,Funding and Support for Health Research,3321,Nursing Funding Cuts
Economics and Public Finance,Funding and Support for Health Research,3352,Funding for Health Research
Economics and Public Finance,Funding and Support for Health Research,3364,Funding for Diabetes Research
Economics and Public Finance,Funding and Support for Health Research,3365,Funding for Health Research
Economics and Public Finance,Funding and Support for Health Research,3368,Funding for CDC Programs
Economics and Public Finance,Funding and Support for Health Research,3374,Access to Workforce Programs
Economics and Public Finance,Education Funding and Reform Issues,3088,Abortion Rights and Education Funding
Economics and Public Finance,Education Funding and Reform Issues,3090,Education Funding Cuts
Economics and Public Finance,Education Funding and Reform Issues,3091,Education Funding Cuts
Economics and Public Finance,Education Funding and Reform Issues,3097,Safe Drinking Water in Schools
Economics and Public Finance,Education Funding and Reform Issues,3162,Charter School Funding Reform
Economics and Public Finance,Education Funding and Reform Issues,3163,Public Education Funding Cuts
Economics and Public Finance,Education Funding and Reform Issues,3190,Education Funding Cuts
Economics and Public Finance,Education Funding and Reform Issues,3241,Public Education Funding Cuts
Economics and Public Finance,Education Funding and Reform Issues,711,Parental Control in Education
Economics and Public Finance,Education Funding and Reform Issues,3164,Education Funding Reform
Economics and Public Finance,Education Funding and Reform Issues,3165,Charter School Oversight Issues
Economics and Public Finance,Education Funding and Reform Issues,3167,Rural Education Funding Support
Economics and Public Finance,Education Funding and Reform Issues,3168,Native American Education Funding
Economics and Public Finance,Education Funding and Reform Issues,3170,Pell Grant Funding Cuts
Economics and Public Finance,Education Funding and Reform Issues,3174,Education Funding Accountability
Economics and Public Finance,Education Funding and Reform Issues,3175,Public Education Funding Issues
Economics and Public Finance,Education Funding and Reform Issues,3176,Education Funding and Transparency
Economics and Public Finance,Education Funding and Reform Issues,3177,Education Funding Issues
Economics and Public Finance,Education Funding and Reform Issues,3179,Higher Education Funding Issues
Economics and Public Finance,Education Funding and Reform Issues,3180,Education Funding Issues
Economics and Public Finance,Education Funding and Reform Issues,3181,Support for Education Funding
Economics and Public Finance,Education Funding and Reform Issues,3182,Higher Education Funding Issues
Economics and Public Finance,Education Funding and Reform Issues,3244,Higher Education Funding Issues
Economics and Public Finance,Education Funding and Reform Issues,3183,Federal Education Funding Cuts
Economics and Public Finance,Education Funding and Reform Issues,3240,Federal Education Funding Cuts
Economics and Public Finance,Education Funding and Reform Issues,3184,Education Funding Issues
Economics and Public Finance,Education Funding and Reform Issues,3185,Education Funding and Reform
Economics and Public Finance,Education Funding and Reform Issues,3186,Higher Education Funding Issues
Economics and Public Finance,Education Funding and Reform Issues,3187,Funding for Education Sciences
Economics and Public Finance,Education Funding and Reform Issues,3188,Education Funding and Research
Economics and Public Finance,Education Funding and Reform Issues,3189,Education Funding Issues
Economics and Public Finance,Education Funding and Reform Issues,3191,Education Funding Issues
Economics and Public Finance,Education Funding and Reform Issues,3242,Education Funding and Regulation
Economics and Public Finance,Education Funding and Reform Issues,3243,Education Funding Issues
Economics and Public Finance,Education Funding and Reform Issues,3266,Education Funding and Reform Issues
Economics and Public Finance,Education Funding and Reform Issues,3274,Affirmative Action in Higher Education
Economics and Public Finance,Education Funding and Reform Issues,3275,Opposition to Amendment
Economics and Public Finance,Education Funding and Reform Issues,3277,Education Curriculum Reform
Economics and Public Finance,Education Funding and Reform Issues,3278,Civics Education Funding Issues
Economics and Public Finance,Education Funding and Reform Issues,1725,Critical Race Theory in Education
Economics and Public Finance,Education Funding and Reform Issues,3279,Critical Race Theory in Education
Economics and Public Finance,Education Funding and Reform Issues,3283,Confucius Classrooms in Education
Economics and Public Finance,Education Funding and Reform Issues,3285,Education Funding Issues
Economics and Public Finance,Education Funding and Reform Issues,3375,Education Funding Issues
Economics and Public Finance,Education Funding and Reform Issues,3376,Education Funding and Workforce Issues
Economics and Public Finance,Education Funding and Reform Issues,3400,TRIO Program Support for College Students
Immigration,Border Security and Immigration Reform Debate,1304,Border Security Crisis
Immigration,Border Security and Immigration Reform Debate,1306,Border Security Reform
Immigration,Border Security and Immigration Reform Debate,1310,Border Security Legislation
Immigration,Border Security and Immigration Reform Debate,1325,Border Security Legislation
Immigration,Border Security and Immigration Reform Debate,1329,Border Security Legislation
Immigration,Border Security and Immigration Reform Debate,1349,Border Security Reform
Immigration,Border Security and Immigration Reform Debate,2363,Border Security Debate
Immigration,Border Security and Immigration Reform Debate,1305,Child Deportation Act Opposition
